"Reference","Value","Datasheet","Footprint","Package","Qty","DNP","JLCPN","Link"
"C1,C2,C6,C12","1uF","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707174974914560","Capacitor_SMD:C_0402_1005Metric","0402","4","","C52923","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923"
"C3,C4","15pF","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707286171729920","Capacitor_SMD:C_0402_1005Metric","0402","2","","C1548","https://jlcpcb.com/partdetail/1900-0402CG150J500NT/C1548"
"C5,C7,C8,C9,C10,C11,C13","100nF","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680","Capacitor_SMD:C_0402_1005Metric","0402","7","","C1525","https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525"
"D1,D2","1N5819WS","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550723919347523584","Diode_SMD:D_SOD-323","SOD-323","2","","C191023","https://jlcpcb.com/partdetail/GuangdongHottech-1N5819WS/C191023"
"D3","KT-0603R","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550723991833485312","LED_SMD:LED_0603_1608Metric","0603","1","","C2286","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286"
"J1","GT-USB-7010ASV","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8589042191104270336","GamecubeConnectors:USB_C_Receptacle_GT-USB-7010","SMD","1","","C2988369","https://jlcpcb.com/partdetail/GSwitch-GT_USB7010ASV/C2988369"
"R1,R4","1k","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705924167974912","Resistor_SMD:R_0402_1005Metric","0402","2","","C11702","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R2,R3","5.1k","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706036003409920","Resistor_SMD:R_0402_1005Metric","0402","2","","C25905","https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905"
"R5,R6","22R","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705910383595520","Resistor_SMD:R_0402_1005Metric","0402","2","","C25092","https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092"
"R7","470R","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705913233424384","Resistor_SMD:R_0402_1005Metric","0402","1","","C25117","https://jlcpcb.com/partdetail/25860-0402WGF4700TCE/C25117"
"SW1","TS-1187A-B-A-B","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550724022091735041","hhl:TS-1187A-C-E-B","SMD","1","","C318884","https://jlcpcb.com/partdetail/XKBConnection-TS_1187A_B_AB/C318884"
"U1","XC6206P332MR-G","https://www.torexsemi.com/file/xc6206/XC6206.pdf","Package_TO_SOT_SMD:SOT-23-3","SOT-23-3L","1","","C5446","https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MRG/C5446"
"U2","~","","GamecubeConnectors:DVDCN_FLEX_PADS","","1","DNP","",""
"U3","W25Q128JVSIQ","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8560111703904829441","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","SOIC-8-208mil","1","","C97521","https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521"
"U4","RP2040","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550723933012836352","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","LQFN-56(7x7)","1","","C2040","https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040"
"Y1","ABM8-272-T3","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8559470777180311552","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","SMD3225-4P ","1","","C20625731","https://jlcpcb.com/partdetail/AbraconLLC-ABM8_272T3/C20625731"
