Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C5, C6, C7",0402,9,100nF,C1525
"C15, C16, C8, C9",0402,4,1uF,C52923
"C2, C3",0402,2,33pF,C1562
"D1, D2",D_SOD-323,2,1N5819WS,C191023
D3,0805,1,LED,C2297
J1,CONN_502598-3993_MOL,1,5025983993,C505359
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
J4,TestPoint_Pad_D1.0mm,1,+,
J5,TestPoint_Pad_D1.0mm,1,D,
J6,TestPoint_Pad_D1.0mm,1,C,
J7,TestPoint_Pad_D1.0mm,1,G,
"R1, R6, R7",0402,3,1k,C11702
"R2, R3",0402,2,5.1k,C25905
"R4, R5",0402,2,22R,C25092
S1,TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23,1,XC6206P332MR,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 Mhz,C9002
