Designator,Mid X,Mid Y,Rotation,Layer
C1,141.86,-102.67,90.0,top
C10,150.3,-120.02,180.0,top
C11,150.16,-115.3,180.0,top
C12,145.54,-112.51,270.0,top
C13,145.11,-110.28,270.0,top
C14,146.75,-125.03,90.0,top
C15,152.15,-110.14,0.0,top
C16,148.54,-110.7,90.0,top
C2,140.11,-126.48,270.0,top
C3,142.82,-128.99,180.0,top
C5,141.43,-113.28,270.0,top
C6,138.95,-119.61,0.0,top
C7,145.73,-125.04,90.0,top
C8,147.56,-112.65,270.0,top
C9,149.08,-114.05,0.0,top
D1,150.16,-108.5,90.0,top
D2,137.78,-129.25,180.0,top
D3,155.190001,-101.17,180.0,top
J1,133.979999,-122.389999,270.0,top
J3,147.69,-100.38,180.0,top
R1,133.29,-101.550001,90.0,top
R2,149.06,-105.14,270.0,top
R3,146.12,-105.159999,270.0,top
R4,146.25,-110.390001,270.0,top
R5,147.35,-110.400001,270.0,top
R6,144.9,-126.99,90.0,top
R7,154.25,-103.35,270.0,top
S1,137.6,-99.835,0.0,top
U1,144.9375,-118.38,0.0,top
U2,136.68,-105.48,270.0,top
U3,150.64,-112.6,90.0,top
Y1,142.36,-126.38,90.0,top
